pos1;pos2;landmark
1.902113032590307;0.6180339887498948;1
1.618033988749895;1.1755705045849463;2
1.1755705045849463;1.618033988749895;3
0.6180339887498949;1.902113032590307;4
1.2246467991473532e-16;2.0;5
-0.6180339887498947;1.9021130325903073;6
-1.175570504584946;1.618033988749895;7
-1.6180339887498947;1.1755705045849465;8
-1.902113032590307;0.618033988749895;9
-2.0;2.4492935982947064e-16;10
-1.9021130325903073;-0.6180339887498946;11
-1.618033988749895;-1.175570504584946;12
-1.1755705045849465;-1.6180339887498947;13
-0.6180339887498951;-1.902113032590307;14
-3.6739403974420594e-16;-2.0;15
0.6180339887498945;-1.9021130325903073;16
1.1755705045849458;-1.6180339887498951;17
1.6180339887498947;-1.1755705045849467;18
1.902113032590307;-0.6180339887498952;19
2.0;-4.898587196589413e-16;20
