pos1;pos2;landmark
-0.8185014665785937;-0.2872522189682315;1
-0.9792641587574212;-0.1012937650760403;2
-0.979264158757421;0.10129376507604064;3
-0.8185014665785934;0.2872522189682318;4
-0.5233679836966119;0.4260533868077283;5
-0.142314838273285;0.4949107209404664;6
0.26210168293910224;0.48252013113456993;7
0.6234898018587336;0.3909157412340149;8
0.8825215767863213;0.23513595349636837;9
0.9966725824941932;0.04075464177353158;10
0.9472030102919099;-0.16031723027636802;11
0.7422341230042698;-0.3350703309187798;12
0.41541501300188605;-0.4548159976772593;13
0.020398537391405413;-0.49989596409460324;14
-0.37796670142890687;-0.462909595010449;15
-0.7142823452219038;-0.3499288253717808;16
