pos1;pos2;landmark
1.8793852415718169;0.3420201433256687;1
1.532088886237956;0.6427876096865393;2
1.0000000000000002;0.8660254037844386;3
0.34729635533386083;0.984807753012208;4
-0.3472963553338606;0.984807753012208;5
-0.9999999999999996;0.8660254037844387;6
-1.5320888862379558;0.6427876096865395;7
-1.8793852415718166;0.3420201433256689;8
-2.0;1.2246467991473532e-16;9
-1.8793852415718169;-0.34202014332566866;10
-1.5320888862379562;-0.6427876096865393;11
-1.0000000000000009;-0.8660254037844385;12
-0.34729635533386066;-0.984807753012208;13
0.34729635533385994;-0.9848077530122081;14
1.0000000000000002;-0.8660254037844386;15
1.5320888862379556;-0.6427876096865396;16
1.8793852415718162;-0.34202014332566943;17
2.0;-2.4492935982947064e-16;18
