pos;shape;value;landmark
pos1;1;1.9012354484144391;1
pos2;1;1.7881870686511994;1
pos1;1;1.4364049468696494;2
pos2;1;1.6636361111449192;2
pos1;1;0.8586301888672216;3
pos2;1;1.3384260859804928;3
pos1;1;0.23759933726951982;4
pos2;1;0.8517821217815501;4
pos1;1;-0.3517821217815499;5
pos2;1;0.2624006627304805;5
pos1;1;-0.8384260859804924;6
pos2;1;-0.3586301888672208;6
pos1;1;-1.1636361111449192;7
pos2;1;-0.9364049468696488;7
pos1;1;-1.2881870686511994;8
pos2;1;-1.4012354484144387;8
pos1;1;-1.197056274847714;9
pos2;1;-1.6970562748477138;9
pos1;1;-0.9012354484144391;10
pos2;1;-1.7881870686511994;10
pos1;1;-0.4364049468696497;11
pos2;1;-1.6636361111449194;11
pos1;1;0.14136981113277775;12
pos2;1;-1.3384260859804933;12
pos1;1;0.7624006627304802;13
pos2;1;-0.85178212178155;13
pos1;1;1.3517821217815493;14
pos2;1;-0.2624006627304812;14
pos1;1;1.8384260859804928;15
pos2;1;0.3586301888672214;15
pos1;1;2.163636111144919;16
pos2;1;0.9364049468696487;16
pos1;1;2.288187068651199;17
pos2;1;1.4012354484144378;17
pos1;1;2.1970562748477143;18
pos2;1;1.6970562748477136;18
