pos1;pos2;landmark
-0.013095651515151685;-0.06487498484848486;1
0.04689734848484828;-0.04169898484848489;2
0.045190348484848375;0.028304015151515094;3
-0.009227651515151647;0.06843901515151513;4
-0.06428465151515167;0.033213015151515146;5
-0.03753765151515165;-0.0626159848484849;6
0.03676234848484827;-0.09892798484848486;7
0.09551134848484832;-0.009422984848484861;8
0.043142348484848325;0.08431601515151516;9
-0.036906651515151656;0.09811601515151508;10
-0.10466165151515167;-0.004267984848484896;11
