pos1;pos2;mom1;mom2;landmark
1.618033988749895;0.5877852522924731;1.0;-3.0;1
0.6180339887498949;0.9510565162951535;1.0;-3.0;2
-0.6180339887498947;0.9510565162951536;1.0;-3.0;3
-1.6180339887498947;0.5877852522924732;1.0;-3.0;4
-2.0;1.2246467991473532e-16;1.0;-3.0;5
-1.618033988749895;-0.587785252292473;1.0;-3.0;6
-0.6180339887498951;-0.9510565162951535;1.0;-3.0;7
0.6180339887498945;-0.9510565162951536;1.0;-3.0;8
1.6180339887498947;-0.5877852522924734;1.0;-3.0;9
2.0;-2.4492935982947064e-16;1.0;-3.0;10
