pos1;pos2;landmark
1.8270909152852017;0.40673664307580015;1
1.3382612127177165;0.7431448254773941;2
0.6180339887498949;0.9510565162951535;3
-0.20905692653530666;0.9945218953682734;4
-0.9999999999999996;0.8660254037844387;5
-1.6180339887498947;0.5877852522924732;6
-1.9562952014676112;0.20791169081775973;7
-1.9562952014676114;-0.20791169081775907;8
-1.618033988749895;-0.587785252292473;9
-1.0000000000000009;-0.8660254037844385;10
-0.20905692653530847;-0.9945218953682733;11
0.6180339887498945;-0.9510565162951536;12
1.3382612127177156;-0.7431448254773946;13
1.827090915285201;-0.40673664307580093;14
2.0;-2.4492935982947064e-16;15
