pos;shape;value;landmark
pos1;1;1.0;1
pos2;1;0.0;1
pos1;1;1.0987271607018685;2
pos2;1;0.012250316304916652;2
pos1;1;1.3668124482004727;3
pos2;1;0.09442719099991587;3
pos1;1;1.7280613234561806;4
pos2;1;0.29942652689880206;4
pos1;1;2.079837387624884;5
pos2;1;0.6498393924658127;5
pos1;1;2.3213203435596426;6
pos2;1;1.1313708498984758;6
pos1;1;2.379484655728429;7
pos2;1;1.694427190999916;7
pos1;1;2.22503928672834;8
pos2;1;2.263563230084267;8
pos1;1;1.8742645786248002;9
pos2;1;2.7527638409423467;9
pos1;1;1.3775789264205833;10
pos2;1;3.0832572367790254;10
pos1;1;0.8000000000000003;11
pos2;1;3.2;11
pos1;1;0.20092730841974538;12
pos2;1;3.0832572367790254;12
pos1;1;-0.37983738762488406;13
pos2;1;2.752763840942348;13
pos1;1;-0.9258619843934138;14
pos2;1;2.263563230084268;14
pos1;1;-1.4378438692285544;15
pos2;1;1.694427190999916;15
pos1;1;-1.9213203435596424;16
pos2;1;1.1313708498984762;16
pos1;1;-2.3742645786248;17
pos2;1;0.6498393924658131;17
pos1;1;-2.780025030291148;18
pos2;1;0.2994265268988023;18
pos1;1;-3.108453234700347;19
pos2;1;0.09442719099991596;19
pos1;1;-3.3244469910421537;20
pos2;1;0.01225031630491668;20
pos1;1;-3.4000000000000004;21
pos2;1;5.877363255445678e-48;21
pos1;1;-3.3244469910421546;22
pos2;1;-0.012250316304916622;22
pos1;1;-3.108453234700347;23
pos2;1;-0.09442719099991576;23
pos1;1;-2.780025030291149;24
pos2;1;-0.29942652689880195;24
pos1;1;-2.3742645786248007;25
pos2;1;-0.6498393924658123;25
pos1;1;-1.9213203435596427;26
pos2;1;-1.1313708498984758;26
pos1;1;-1.4378438692285551;27
pos2;1;-1.6944271909999156;27
pos1;1;-0.9258619843934144;28
pos2;1;-2.263563230084267;28
pos1;1;-0.37983738762488495;29
pos2;1;-2.7527638409423467;29
pos1;1;0.20092730841974416;30
pos2;1;-3.0832572367790245;30
pos1;1;0.7999999999999994;31
pos2;1;-3.2;31
pos1;1;1.3775789264205827;32
pos2;1;-3.0832572367790254;32
pos1;1;1.8742645786247998;33
pos2;1;-2.752763840942348;33
pos1;1;2.225039286728339;34
pos2;1;-2.263563230084269;34
pos1;1;2.379484655728429;35
pos2;1;-1.6944271909999167;35
pos1;1;2.3213203435596426;36
pos2;1;-1.131370849898477;36
pos1;1;2.0798373876248855;37
pos2;1;-0.6498393924658135;37
pos1;1;1.7280613234561817;38
pos2;1;-0.2994265268988025;38
pos1;1;1.3668124482004733;39
pos2;1;-0.09442719099991607;39
pos1;1;1.0987271607018678;40
pos2;1;-0.012250316304916712;40
