pos1;pos2;landmark
-0.8185014665785937;-0.2872522189682315;1
-0.9333365210373669;-0.17950134992379924;2
-0.9925185024910278;-0.06104715843707971;3
-0.9925185024910277;0.06104715843708005;4
-0.9333365210373668;0.17950134992379935;5
-0.8185014665785934;0.2872522189682318;6
-0.654860733945285;0.37787478717712913;7
-0.45217190728268547;0.445965404001347;8
-0.22252093395631434;0.4874639560909118;9
0.020398537391405434;0.49989596409460324;10
0.26210168293910224;0.48252013113456993;11
0.4881762060482814;0.43637254492242805;12
0.6851417149678443;0.3642048978291345;13
0.8412535328311812;0.2703204087277988;14
0.9472030102919101;0.16031723027636774;15
0.9966725824941932;0.04075464177353158;16
0.9867124733912889;-0.08123806813010309;17
0.9179165852537591;-0.19838670728912156;18
0.7943870854121127;-0.30370592623887377;19
0.6234898018587334;-0.39091574123401496;20
0.41541501300188605;-0.4548159976772593;21
0.18256982083936102;-0.49159644539975156;22
-0.061161660821842725;-0.49906393659668347;23
-0.3012461895372345;-0.4767731990394638;24
-0.5233679836966124;-0.42605338680772814;25
-0.7142823452219038;-0.3499288253717808;26
