pos1;pos2;landmark
-0.8185014665785937;-0.2872522189682315;1
-0.8626054156009807;-0.2529386768447341;2
-0.9009688679024191;-0.216941869558779;3
-0.9333365210373669;-0.17950134992379924;4
-0.9594929736144975;-0.1408662784207147;5
-0.9792641587574212;-0.1012937650760403;6
-0.9925185024910278;-0.06104715843707971;7
-0.9991677993445829;-0.020394293030792744;8
-0.9991677993445829;0.020394293030792866;9
-0.9925185024910277;0.06104715843708005;10
-0.979264158757421;0.10129376507604064;11
-0.9594929736144973;0.14086627842071503;12
-0.9333365210373668;0.17950134992379935;13
-0.900968867902419;0.21694186955877912;14
-0.8626054156009806;0.2529386768447342;15
-0.8185014665785934;0.2872522189682318;16
-0.7689505253393618;0.3196541449677759;17
-0.7142823452219036;0.3499288253717809;18
-0.654860733945285;0.37787478717712913;19
-0.5910811325286764;0.40330605461876506;20
-0.5233679836966119;0.4260533868077283;21
-0.45217190728268547;0.445965404001347;22
-0.3779667014289064;0.4629095950104491;23
-0.30124618953723403;0.47677319903946386;24
-0.22252093395631434;0.4874639560909118;25
-0.142314838273285;0.4949107209404664;26
-0.06116166082184248;0.49906393659668347;27
0.020398537391405434;0.49989596409460324;28
0.10182298670383554;0.497401266428502;29
0.18256982083936169;0.4915964453997515;30
0.26210168293910224;0.48252013113456993;31
0.3398893015826169;0.4702327250069057;32
0.41541501300188644;0.45481599767725917;33
0.4881762060482814;0.43637254492242805;34
0.5576886669868295;0.4150251048775403;35
0.6234898018587336;0.3909157412340149;36
0.6851417149678443;0.3642048978291345;37
0.7422341230042699;0.33507033091877975;38
0.7943870854121127;0.3037059262388737;39
0.8412535328311812;0.2703204087277988;40
0.8825215767863213;0.23513595349636837;41
0.9179165852537594;0.19838670728912122;42
0.9472030102919101;0.16031723027636774;43
0.9701859555740645;0.12118086854660616;44
0.9867124733912889;0.0812380681301029;45
0.9966725824941932;0.04075464177353158;46
1.0;0.0;47
0.9966725824941932;-0.04075464177353174;48
0.9867124733912889;-0.08123806813010309;49
0.9701859555740644;-0.1211808685466064;50
0.9472030102919099;-0.16031723027636802;51
0.9179165852537591;-0.19838670728912156;52
0.8825215767863209;-0.2351359534963687;53
0.8412535328311808;-0.2703204087277991;54
0.7943870854121127;-0.30370592623887377;55
0.7422341230042698;-0.3350703309187798;56
0.685141714967844;-0.3642048978291346;57
0.6234898018587334;-0.39091574123401496;58
0.5576886669868292;-0.41502510487754035;59
0.488176206048281;-0.43637254492242816;60
0.41541501300188605;-0.4548159976772593;61
0.33988930158261627;-0.4702327250069058;62
0.2621016829391016;-0.48252013113457004;63
0.18256982083936102;-0.49159644539975156;64
0.10182298670383463;-0.4974012664285021;65
0.020398537391405413;-0.49989596409460324;66
-0.061161660821842725;-0.49906393659668347;67
-0.14231483827328523;-0.49491072094046634;68
-0.2225209339563146;-0.4874639560909118;69
-0.3012461895372345;-0.4767731990394638;70
-0.37796670142890687;-0.462909595010449;71
-0.4521719072826861;-0.4459654040013468;72
-0.5233679836966124;-0.42605338680772814;73
-0.591081132528677;-0.40330605461876484;74
-0.6548607339452852;-0.3778747871771291;75
-0.7142823452219038;-0.3499288253717808;76
-0.7689505253393623;-0.3196541449677756;77
